Country_Code,Country_Name,id_transaction,date_ecriture,ministere_code,ministere_nom,code_budgetaire,libelle,tiers,montant_XOF,AMOUNT_local,UNIT,AMOUNT_USD
CTB,Country B,SN-2024000000,10-06-2024,MEN,Ministere de l'Education Nationale,612010.0,Campagnes de sensibilisation - sante maternelle,Batiment et Travaux SA,"11548910,00",11548910.0,XOF,
CTB,Country B,SN-2024000001,20-07-2024,MEN,Ministere de l'Education Nationale,611030.0,Kits obstetricaux et accouchement,Nettoyage Pro Dakar,34038021,34038021.0,XOF,
CTB,Country B,SN-2024000002,20-11-2023,MINT,Ministere de l'Interieur,613020.0,Carburants et lubrifiants,Banque Regionale,571936,571936.0,XOF,
CTB,Country B,SN-2024000003,28-10-2023,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",611010.0,Achat de medicaments essentiels,Nettoyage Pro Dakar,115999879,115999879.0,XOF,
CTB,Country B,SN-2024000004,02-04-2024,MEN,Ministere de l'Education Nationale,612010.0,Campagnes de sensibilisation - sante maternelle,Fournitures Scolaires SA,2156671,2156671.0,XOF,
CTB,Country B,SN-2024000005,24-03-2024,MINT,Ministere de l'Interieur,614010.0,Construction et rehabilitation - centres de sante,Cabinet Consulting Sahel,765356,765356.0,XOF,
CTB,Country B,SN-2024000006,03-08-2024,MSAS,Ministere de la Sante et de l'Action Sociale,613010.0,Nettoyage et hygiene - formations sanitaires,Fournitures Scolaires SA,15670736,15670736.0,XOF,
CTB,Country B,SN-2024000007,30-12-2023,MSAS,Ministere de la Sante et de l'Action Sociale,611030.0,Kits obstetricaux et accouchement,Cliniques Reunies,35059762,35059762.0,XOF,
CTB,Country B,SN-2024000008,23-10-2023,MEN,Ministere de l'Education Nationale,611015.0,Achat de contraceptifs et produits de planification familiale,Batiment et Travaux SA,85031127,85031127.0,XOF,
CTB,Country B,SN-2024000009,29-08-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",612015.0,Campagnes de sensibilisation - VIH/SIDA,Bureau Moderne SARL,3217815,3217815.0,XOF,
CTB,Country B,SN-2024000010,28-12-2023,MINT,Ministere de l'Interieur,610100.0,Traitements et salaires - personnel permanent,Formation & Sensibilisation SARL,43224905,43224905.0,XOF,
CTB,Country B,SN-2024000011,09-11-2023,MSAS,Ministere de la Sante et de l'Action Sociale,614020.0,Achat de vehicules - ambulances,Pharma Ouest SA,14371603,14371603.0,XOF,
CTB,Country B,SN-2024000012,22-05-2024,MEN,Ministere de l'Education Nationale,614010.0,Construction et rehabilitation - centres de sante,Cliniques Reunies,97884810,97884810.0,XOF,
CTB,Country B,SN-2024000013,08-03-2024,MSAS,Ministere de la Sante et de l'Action Sociale,610200.0,Frais de fonctionnement,Pharma Ouest SA,347219,347219.0,XOF,
CTB,Country B,SN-2024000014,23-02-2024,MFB,Ministere des Finances et du Budget,614020.0,Achat de vehicules - ambulances,Nettoyage Pro Dakar,7361710,7361710.0,XOF,
CTB,Country B,SN-2024000015,13-02-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",610100.0,Traitements et salaires - personnel permanent,Pharma Ouest SA,1207699,1207699.0,XOF,
CTB,Country B,SN-2024000016,13-02-2024,MSAS,Ministere de la Sante et de l'Action Sociale,611025.0,Kits de tests VIH et antiretroviraux,Institut de Sante Publique,24909186,24909186.0,XOF,
CTB,Country B,SN-2024000017,18-07-2024,MEN,Ministere de l'Education Nationale,610200.0,Frais de fonctionnement,Cabinet Consulting Sahel,"31,073,710 FCFA",31073710.0,XOF,
CTB,Country B,SN-2024000018,07-06-2024,MSAS,Ministere de la Sante et de l'Action Sociale,610100.0,Traitements et salaires - personnel permanent,Transport Afrique de l'Ouest,4225452,4225452.0,XOF,
CTB,Country B,SN-2024000019,05-04-2024,MINT,Ministere de l'Interieur,612025.0,Services de conseil SRH pour adolescents,Batiment et Travaux SA,95388941,95388941.0,XOF,
CTB,Country B,SN-2024000020,20-08-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",611030.0,Kits obstetricaux et accouchement,Cabinet Consulting Sahel,961103,961103.0,XOF,
CTB,Country B,SN-2024000021,07-03-2024,MINT,Ministere de l'Interieur,611025.0,Kits de tests VIH et antiretroviraux,Institut de Sante Publique,37173267,37173267.0,XOF,
CTB,Country B,SN-2024000022,02-10-2023,MFB,Ministere des Finances et du Budget,614010.0,Construction et rehabilitation - centres de sante,Fournitures Scolaires SA,"781,311 FCFA",781311.0,XOF,
CTB,Country B,SN-2024000023,12-03-2024,MSAS,Ministere de la Sante et de l'Action Sociale,610200.0,Frais de fonctionnement,Cliniques Reunies,457103,457103.0,XOF,
CTB,Country B,SN-2024000024,11-02-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",612015.0,Campagnes de sensibilisation - VIH/SIDA,Batiment et Travaux SA,"13,601,260 FCFA",13601260.0,XOF,
CTB,Country B,SN-2024000025,30-07-2024,MFB,Ministere des Finances et du Budget,611025.0,Kits de tests VIH et antiretroviraux,Banque Regionale,2144085,2144085.0,XOF,
CTB,Country B,SN-2024000026,12-10-2023,MFB,Ministere des Finances et du Budget,612030.0,Appui aux victimes de VBG,Diagnostics Reunis,74892282,74892282.0,XOF,
CTB,Country B,SN-2024000027,22-05-2024,MEN,Ministere de l'Education Nationale,611010.0,Achat de medicaments essentiels,Cliniques Reunies,12320714,12320714.0,XOF,
CTB,Country B,SN-2024000028,20-03-2024,MINT,Ministere de l'Interieur,611040.0,Reactifs et consommables de laboratoire,Institut de Sante Publique,27552261,27552261.0,XOF,
CTB,Country B,SN-2024000029,09-01-2024,MINT,Ministere de l'Interieur,613010.0,Nettoyage et hygiene - formations sanitaires,Diagnostics Reunis,642595,642595.0,XOF,
CTB,Country B,SN-2024000030,01-08-2024,MSAS,Ministere de la Sante et de l'Action Sociale,611040.0,Reactifs et consommables de laboratoire,Pharma Ouest SA,32366442,32366442.0,XOF,
CTB,Country B,SN-2024000031,20-03-2024,MEN,Ministere de l'Education Nationale,614010.0,Construction et rehabilitation - centres de sante,Fournitures Scolaires SA,"3,695,181 FCFA",3695181.0,XOF,
CTB,Country B,SN-2024000032,25-04-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",614010.0,Construction et rehabilitation - centres de sante,PharmaSante,2776880,2776880.0,XOF,
CTB,Country B,SN-2024000033,09-08-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",613020.0,Carburants et lubrifiants,PharmaSante,"10131645,00",10131645.0,XOF,
CTB,Country B,SN-2024000034,21-05-2024,MINT,Ministere de l'Interieur,614010.0,Construction et rehabilitation - centres de sante,Formation & Sensibilisation SARL,1411411,1411411.0,XOF,
CTB,Country B,SN-2024000035,14-07-2024,MINT,Ministere de l'Interieur,611030.0,Kits obstetricaux et accouchement,Institut de Sante Publique,75476652,75476652.0,XOF,
CTB,Country B,SN-2024000036,17-10-2023,MSAS,Ministere de la Sante et de l'Action Sociale,612015.0,Campagnes de sensibilisation - VIH/SIDA,Transport Afrique de l'Ouest,"10,106,381 FCFA",10106381.0,XOF,
CTB,Country B,SN-2024000037,12-11-2023,MEN,Ministere de l'Education Nationale,610200.0,Frais de fonctionnement,SolutionsIT SA,865029,865029.0,XOF,
CTB,Country B,SN-2024000038,28-11-2023,MFB,Ministere des Finances et du Budget,611030.0,Kits obstetricaux et accouchement,Bureau Moderne SARL,9592561,9592561.0,XOF,
CTB,Country B,SN-2024000039,26-01-2024,MEN,Ministere de l'Education Nationale,611030.0,Kits obstetricaux et accouchement,Impressions Modernes,15771021,15771021.0,XOF,
CTB,Country B,SN-2024000040,02-03-2024,MSAS,Ministere de la Sante et de l'Action Sociale,610200.0,Frais de fonctionnement,Impressions Modernes,700855,700855.0,XOF,
CTB,Country B,SN-2024000041,08-10-2023,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",612030.0,Appui aux victimes de VBG,Batiment et Travaux SA,"3,246,565 FCFA",3246565.0,XOF,
CTB,Country B,SN-2024000042,30-08-2024,MINT,Ministere de l'Interieur,614010.0,Construction et rehabilitation - centres de sante,Pharma Ouest SA,19597169,19597169.0,XOF,
CTB,Country B,SN-2024000043,14-11-2023,MEN,Ministere de l'Education Nationale,611015.0,Achat de contraceptifs et produits de planification familiale,Fournitures Scolaires SA,44330304,44330304.0,XOF,
CTB,Country B,SN-2024000044,22-03-2024,MFB,Ministere des Finances et du Budget,613010.0,Nettoyage et hygiene - formations sanitaires,SARL Fournitures Medicales,944331,944331.0,XOF,
CTB,Country B,SN-2024000045,06-10-2023,MSAS,Ministere de la Sante et de l'Action Sociale,612030.0,Appui aux victimes de VBG,Cabinet Consulting Sahel,2892934,2892934.0,XOF,
CTB,Country B,SN-2024000046,16-12-2023,MINT,Ministere de l'Interieur,612020.0,Depistage precoce du cancer du col,Cliniques Reunies,721486,721486.0,XOF,
CTB,Country B,SN-2024000047,15-07-2024,MINT,Ministere de l'Interieur,611040.0,Reactifs et consommables de laboratoire,Cliniques Reunies,14968080,14968080.0,XOF,
CTB,Country B,SN-2024000048,13-09-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",612020.0,Depistage precoce du cancer du col,PharmaSante,27437695,27437695.0,XOF,
CTB,Country B,SN-2024000049,06-08-2024,MFB,Ministere des Finances et du Budget,610200.0,Frais de fonctionnement,Banque Regionale,"73743692,00",73743692.0,XOF,
CTB,Country B,SN-2024000050,25-09-2024,MEN,Ministere de l'Education Nationale,613020.0,Carburants et lubrifiants,Nettoyage Pro Dakar,569090,569090.0,XOF,
CTB,Country B,SN-2024000051,30-09-2024,MFB,Ministere des Finances et du Budget,611015.0,Achat de contraceptifs et produits de planification familiale,Diagnostics Reunis,597511,597511.0,XOF,
CTB,Country B,SN-2024000052,02-01-2024,MSAS,Ministere de la Sante et de l'Action Sociale,612030.0,Appui aux victimes de VBG,Cliniques Reunies,609517,609517.0,XOF,
CTB,Country B,SN-2024000053,19-06-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",611020.0,Achat de vaccins et intrants immunisation,Pharma Ouest SA,2083912,2083912.0,XOF,
